,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
2179,2019209213,3823 Myrtle Ave,Palestine East,L,64128,East,3,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,12/26/2019,10:47 AM,12,2019,RESOL,N,12/27/2019,12.0,2019.0,1.0,"3823 Myrtle Ave64128
(39.055808, -94.537086)",Jackson,39.055808,-94.537086,28338,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019209213
680,2020021233,3201 Eastern Ave,Leeds,L,64129,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,At Large - Aggressive,2/11/2020,4:48 PM,2,2020,RESOL,N,2/11/2020,2.0,2020.0,0.0,"3201 Eastern Ave64129
(39.065689, -94.498462)",Jackson,39.065689,-94.498462,21442,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020021233
681,2020021206,7050 Askew Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,At Large - Aggressive,2/11/2020,4:24 PM,2,2020,RESOL,N,2/11/2020,2.0,2020.0,0.0,"7050 Askew Ave64132
(38.99873, -94.545781)",Jackson,38.99873,-94.545781,2510,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020021206
682,2020020696,5622 E 31st St,South Blue Valley,L,64128,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Injured,Injured,2/11/2020,8:28 AM,2,2020,RESOL,N,2/11/2020,2.0,2020.0,0.0,"5622 E 31st St64128
(39.068971, -94.517149)",Jackson,39.068971000000005,-94.517149,22073,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020020696
683,2020020846,3000 E 49th St,North Town Fork Creek,L,64130,Metro,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Injured,Injured,2/11/2020,10:30 AM,2,2020,RESOL,N,2/11/2020,2.0,2020.0,0.0,"3000 E 49th St64130
(39.037487, -94.549227)",Jackson,39.037487,-94.549227,35010,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020020846
684,2020021008,603 BROOKLYN AVE,Independence Plaza,L,64124,Central,3,PHONE,4440,Animals / Pets,,0,603,Wildlife,Animals / Pets Wildlife,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Wildlife-Injured,Injured,2/11/2020,1:44 PM,2,2020,RESOL,N,2/11/2020,2.0,2020.0,0.0,"603 BROOKLYN AVE64124
(39.106184, -94.555121)",Jackson,39.106184000000006,-94.555121,40306,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020021008
1472,2020007494,6949 College Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Animals / Pets,,35,25,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,1/17/2020,11:13 AM,1,2020,RESOL,Y,2/21/2020,2.0,2020.0,35.0,"6949 College Ave64132
(38.999609, -94.54833)",Jackson,38.999609,-94.54833,3144,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007494
1471,2020007462,6025 E 10th St,Sheffield,L,64126,East,4,PHONE,4440,Animals / Pets,,35,25,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,1/17/2020,9:53 AM,1,2020,RESOL,Y,2/21/2020,2.0,2020.0,35.0,"6025 E 10th St64126
(39.099989, -94.510221)",Jackson,39.099989,-94.510221,5788,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007462
1470,2020007473,4800 E 63rd St,Swope Parkway-Elmwood,L,64130,Metro,5,PHONE,4440,Animals / Pets,,5,258,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,1/17/2020,10:20 AM,1,2020,RESOL,Y,1/22/2020,1.0,2020.0,5.0,"4800 E 63rd St64130
(39.014493, -94.529933)",Jackson,39.014493,-94.529933,492,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007473
1469,2020007420,3328 Wabash Ave,Key Coalition,L,64109,Central,3,EMAIL,248,Animals / Pets,,164,2,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Abandonment,Abandonment,1/17/2020,8:18 AM,1,2020,RESOL,Y,6/29/2020,6.0,2020.0,164.0,"3328 Wabash Ave64109
(39.065309, -94.55457)",Jackson,39.065309,-94.55457,126669,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007420
1468,2020007541,6607 E 18th St,Central Blue Valley And Park Tower Gardens,L,64126,East,3,PHONE,4440,Animals / Pets,,165,4,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water,Shelter / Food / Water,1/17/2020,12:41 PM,1,2020,RESOL,Y,6/30/2020,6.0,2020.0,165.0,"6607 E 18th St64126
(39.088064, -94.505407)",Jackson,39.088064,-94.50540699999999,20886,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007541
5095,2019171025,3831 E 43rd St,Vineyard Northwest,L,64130,East,3,PHONE,4440,Animals / Pets,,1,1102,Wildlife,Animals / Pets Wildlife,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Wildlife-Inside,Inside,9/25/2019,8:17 AM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,1.0,"3831 E 43rd St64130
(39.046735, -94.539566)",Jackson,39.046735,-94.53956600000001,208640,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171025
